Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Season
D1,7/8/1993,Bayern Munich,Freiburg,3,1,H,,,,1993-94
D1,7/8/1993,Dortmund,Karlsruhe,2,1,H,,,,1993-94
D1,7/8/1993,Duisburg,Leverkusen,2,2,D,,,,1993-94
D1,7/8/1993,FC Koln,Kaiserslautern,0,2,A,,,,1993-94
D1,7/8/1993,Hamburg,Nurnberg,5,2,H,,,,1993-94
D1,7/8/1993,Leipzig,Dresden,3,3,D,,,,1993-94
D1,7/8/1993,M'Gladbach,Ein Frankfurt,0,4,A,,,,1993-94
D1,7/8/1993,Wattenscheid,Schalke 04,3,0,H,,,,1993-94
D1,7/8/1993,Werder Bremen,Stuttgart,5,1,H,,,,1993-94
D1,14/08/93,Dresden,Duisburg,0,1,A,,,,1993-94
D1,14/08/93,Ein Frankfurt,Werder Bremen,2,2,D,,,,1993-94
D1,14/08/93,Freiburg,Wattenscheid,4,1,H,,,,1993-94
D1,14/08/93,Kaiserslautern,M'Gladbach,4,2,H,,,,1993-94
D1,14/08/93,Karlsruhe,Hamburg,2,0,H,,,,1993-94
D1,14/08/93,Leverkusen,Bayern Munich,2,1,H,,,,1993-94
D1,14/08/93,Nurnberg,FC Koln,1,0,H,,,,1993-94
D1,14/08/93,Schalke 04,Dortmund,1,0,H,,,,1993-94
D1,14/08/93,Stuttgart,Leipzig,0,0,D,,,,1993-94
D1,21/08/93,Bayern Munich,Dresden,5,0,H,,,,1993-94
D1,21/08/93,Dortmund,Freiburg,3,2,H,,,,1993-94
D1,21/08/93,Duisburg,Stuttgart,2,2,D,,,,1993-94
D1,21/08/93,Ein Frankfurt,Kaiserslautern,1,0,H,,,,1993-94
D1,21/08/93,FC Koln,Karlsruhe,2,1,H,,,,1993-94
D1,21/08/93,Hamburg,Schalke 04,4,1,H,,,,1993-94
D1,21/08/93,M'Gladbach,Nurnberg,2,0,H,,,,1993-94
D1,21/08/93,Wattenscheid,Leverkusen,1,2,A,,,,1993-94
D1,21/08/93,Werder Bremen,Leipzig,3,1,H,,,,1993-94
D1,28/08/93,Dresden,Wattenscheid,1,1,D,,,,1993-94
D1,28/08/93,Freiburg,Hamburg,0,1,A,,,,1993-94
D1,28/08/93,Kaiserslautern,Werder Bremen,2,3,A,,,,1993-94
D1,28/08/93,Karlsruhe,M'Gladbach,1,0,H,,,,1993-94
D1,28/08/93,Leipzig,Duisburg,1,1,D,,,,1993-94
